px;A;R;G;B
0;-580,8;0,000978285;0,00073508;0,000947706
1;-572;0,00102161;0,00078858;0,00104823
2;-563,2;0,00105747;0,000794131;0,00112215
3;-554,4;0,00102772;0,00075608;0,00106842
4;-545,6;0,00091537;0,00070476;0,000971926
5;-536,8;0,000813352;0,000657602;0,000907574
6;-528;0,000864602;0,000695255;0,000921122
7;-519,2;0,000946663;0,000730232;0,000951726
8;-510,4;0,000930148;0,000705912;0,000972147
9;-501,6;0,000908533;0,000673104;0,00100256
10;-492,8;0,00095322;0,000674965;0,00100358
11;-484;0,00100362;0,000736177;0,00100062
12;-475,2;0,00100958;0,000782178;0,00104456
13;-466,4;0,000987158;0,000767534;0,00108838
14;-457,6;0,000948903;0,000701678;0,00102311
15;-448,8;0,00094141;0,000662364;0,000924259
16;-440;0,00100923;0,000717588;0,000940797
17;-431,2;0,00110246;0,000812861;0,00105757
18;-422,4;0,00113024;0,000849213;0,00119701
19;-413,6;0,00108383;0,000861849;0,00127466
20;-404,8;0,00106864;0,000864011;0,00129877
21;-396;0,0010602;0,000830025;0,001219
22;-387,2;0,00105957;0,000823068;0,00114862
23;-378,4;0,00104672;0,000823747;0,00113308
24;-369,6;0,00105833;0,000788484;0,00115682
25;-360,8;0,00104158;0,000666509;0,00111026
26;-352;0,00101971;0,000689387;0,00103427
27;-343,2;0,00109045;0,000836547;0,0010838
28;-334,4;0,00114481;0,000851941;0,00113136
29;-325,6;0,00116062;0,000854747;0,00112787
30;-316,8;0,00114538;0,000856105;0,00111121
31;-308;0,00114304;0,000857179;0,001155
32;-299,2;0,00118539;0,000917765;0,00126452
33;-290,4;0,00119448;0,00094609;0,00128135
34;-281,6;0,00124985;0,000968528;0,00119652
35;-272,8;0,00132464;0,000986823;0,00111123
36;-264;0,00135977;0,00105609;0,00118201
37;-255,2;0,00133886;0,00108903;0,00127944
38;-246,4;0,00132456;0,00104101;0,00128422
39;-237,6;0,00142361;0,00109233;0,00133385
40;-228,8;0,00147573;0,00119714;0,00142909
41;-220;0,00144797;0,00125056;0,00153694
42;-211,2;0,00144324;0,00130668;0,0016238
43;-202,4;0,00156226;0,00134409;0,00164754
44;-193,6;0,00181293;0,00135674;0,00167234
45;-184,8;0,00216582;0,00153654;0,00186154
46;-176;0,00260162;0,00184499;0,00215507
47;-167,2;0,00294358;0,00212773;0,00224548
48;-158,4;0,00328592;0,00258438;0,00229625
49;-149,6;0,00392885;0,00328407;0,00259844
50;-140,8;0,00477722;0,00393347;0,00296053
51;-132;0,0056546;0,00451174;0,00337149
52;-123,2;0,00715081;0,00571232;0,00440186
53;-114,4;0,00955511;0,00766659;0,00604202
54;-105,6;0,0134599;0,010904;0,00857606
55;-96,8;0,0195118;0,0162074;0,012558
56;-88;0,028169;0,023921;0,0183712
57;-79,2;0,0417093;0,0364278;0,0283674
58;-70,4;0,0657145;0,0594467;0,0477505
59;-61,6;0,109251;0,102001;0,083373
60;-52,8;0,194192;0,187195;0,150348
61;-44;0,337282;0,336826;0,270445
62;-35,2;0,515167;0,52302;0,422619
63;-26,4;0,686764;0,70097;0,567373
64;-17,6;0,814236;0,83472;0,680486
65;-8,8;0,88475;0,908641;0,747597
66;0;0,913277;0,93665;0,774457
67;8,8;0,913203;0,93129;0,769539
68;17,6;0,883797;0,889263;0,728958
69;26,4;0,807282;0,788933;0,640199
70;35,2;0,667145;0,622334;0,501555
71;44;0,478364;0,420113;0,335853
72;52,8;0,292495;0,238479;0,191953
73;61,6;0,160871;0,124196;0,101994
74;70,4;0,0895552;0,0689706;0,0561884
75;79,2;0,0532522;0,0402342;0,0328928
76;88;0,0340448;0,0250937;0,0202793
77;96,8;0,023169;0,0168692;0,0132134
78;105,6;0,0162404;0,0117664;0,00883343
79;114,4;0,0114563;0,00834666;0,00609993
80;123,2;0,00821279;0,00609583;0,00466289
81;132;0,00628435;0,00481046;0,00405797
82;140,8;0,00491118;0,00388935;0,0034728
83;149,6;0,00382456;0,00306657;0,00290836
84;158,4;0,00310842;0,00249875;0,00250501
85;167,2;0,00263611;0,00216869;0,00209326
86;176;0,00235028;0,00198935;0,00181499
87;184,8;0,00221204;0,00185243;0,00173938
88;193,6;0,00203184;0,00161715;0,00172395
89;202,4;0,00185152;0,0014493;0,00172236
90;211,2;0,00178067;0,00144742;0,00173479
91;220;0,00160016;0,00131971;0,00162106
92;228,8;0,00143347;0,00116051;0,00144809
93;237,6;0,00141711;0,00111232;0,00141838
94;246,4;0,00142545;0,00107415;0,00146826
95;255,2;0,00139475;0,00107036;0,00150673
96;264;0,00133492;0,00103261;0,00143438
97;272,8;0,00131965;0,00101645;0,00129447
98;281,6;0,00127366;0,000972317;0,00120119
99;290,4;0,0012057;0,000894645;0,0011423
100;299,2;0,00114948;0,000901684;0,0010947
101;308;0,00106603;0,000901218;0,00108796
102;316,8;0,00110186;0,000952763;0,00113192
103;325,6;0,00119758;0,00102024;0,00116215
104;334,4;0,00116165;0,000981912;0,00117576
105;343,2;0,00114633;0,000931707;0,00120787
106;352;0,00120503;0,00091061;0,00120825
107;360,8;0,00118756;0,000844467;0,00115035
108;369,6;0,00107364;0,000813785;0,00110502
109;378,4;0,000968692;0,000808167;0,00108085
110;387,2;0,00098914;0,000766928;0,00104424
111;396;0,0010157;0,000757093;0,000986842
112;404,8;0,000992401;0,000776716;0,000950449
113;413,6;0,000993102;0,000788573;0,000966516
114;422,4;0,00105051;0,000821925;0,000997905
115;431,2;0,00105793;0,00079426;0,000970099
116;440;0,000992194;0,000732127;0,000931609
117;448,8;0,00100142;0,000741478;0,000959564
118;457,6;0,00105394;0,000779754;0,0010275
119;466,4;0,00105617;0,000793672;0,00109212
120;475,2;0,0010233;0,000748327;0,00109486
121;484;0,00101825;0,000750352;0,00105308
122;492,8;0,00100782;0,000792297;0,00101946
123;501,6;0,00102656;0,000789161;0,00103723
124;510,4;0,00115549;0,000791779;0,00106556
125;519,2;0,00124484;0,000802047;0,00110197
126;528;0,00117158;0,000728211;0,00106262
127;536,8;0,00106926;0,000702219;0,000979048
128;545,6;0,00105874;0,000789591;0,0009959
129;554,4;0,00107536;0,000855371;0,0010358
130;563,2;0,00105592;0,000826333;0,00104115
131;572;0,00104679;0,000719943;0,00102741
132;580,8;0,00110414;0,000723994;0,0010354
133;589,6;0,00119242;0,000789839;0,00106848
134;598,4;0,00120816;0,000773464;0,00110259
