# Wavelength (A)     Intensity
3842.552930     61.000000
3848.071930     69.000000
3853.590930     69.000000
3859.109930     67.000000
3864.628930     66.000000
3870.147930     74.000000
3875.666930     68.000000
3881.185930     66.000000
3886.704930     68.000000
3892.223930     72.000000
3897.742930     66.000000
3903.261930     71.000000
3908.780930     77.000000
3914.299930     76.000000
3919.818930     73.000000
3925.337930     78.000000
3930.856930     67.000000
3936.375930     73.000000
3941.894930     75.000000
3947.413930     63.000000
3952.932930     61.000000
3958.451930     73.000000
3963.970930     75.000000
3969.489930     77.000000
3975.008930     73.000000
3980.527930     80.000000
3986.046930     87.000000
3991.565930     108.000000
3997.084930     114.000000
4002.603930     120.000000
4008.122930     136.000000
4013.641930     158.000000
4019.160930     155.000000
4024.679930     166.000000
4030.198930     163.000000
4035.717930     161.000000
4041.236930     165.000000
4046.755930     172.000000
4052.274930     176.000000
4057.793930     167.000000
4063.312930     173.000000
4068.831930     167.000000
4074.350930     161.000000
4079.869930     172.000000
4085.388930     165.000000
4090.907930     157.000000
4096.426930     162.000000
4101.945930     170.000000
4107.464930     181.000000
4112.983930     211.000000
4118.502930     258.000000
4124.021930     294.000000
4129.540930     351.000000
4135.059930     402.000000
4140.578930     477.000000
4146.097930     578.000000
4151.616930     664.000000
4157.135930     791.000000
4162.654930     963.000000
4168.173930     1096.000000
4173.692930     1362.000000
4179.211930     1546.000000
4184.730930     1754.000000
4190.249930     2034.000000
4195.768930     2423.000000
4201.287930     2699.000000
4206.806930     3055.000000
4212.325930     3366.000000
4217.844930     3702.000000
4223.363930     4007.000000
4228.882930     4166.000000
4234.401930     4302.000000
4239.920930     4411.000000
4245.439930     4610.000000
4250.958930     4847.000000
4256.477930     4979.000000
4261.996930     5029.000000
4267.515930     5238.000000
4273.034930     5254.000000
4278.553930     5269.000000
4284.072930     5212.000000
4289.591930     5209.000000
4295.110930     5172.000000
4300.629930     4966.000000
4306.148930     4785.000000
4311.667930     4539.000000
4317.186930     4229.000000
4322.705930     3833.000000
4328.224930     3480.000000
4333.743930     3154.000000
4339.262930     3035.000000
4344.781930     3098.000000
4350.300930     3405.000000
4355.819930     3975.000000
4361.338930     4420.000000
4366.857930     5142.000000
4372.376930     5716.000000
4377.895930     6171.000000
4383.414930     6574.000000
4388.933930     6938.000000
4394.452930     7054.000000
4399.971930     7268.000000
4405.490930     7390.000000
4411.009930     7679.000000
4416.528930     7819.000000
4422.047930     8124.000000
4427.566930     8236.000000
4433.085930     8503.000000
4438.604930     8516.000000
4444.123930     8603.000000
4449.642930     8542.000000
4455.161930     8587.000000
4460.680930     8594.000000
