# Wavelength (A)     Intensity in channels
-798.784260     0.000000
-793.265260     0.000000
-787.746260     0.000000
-782.227260     0.000000
-776.708260     0.000000
-771.189260     0.000000
-765.670260     0.000000
-760.151260     0.000000
-754.632260     0.000000
-749.113260     0.000000
-743.594260     0.000000
-738.075260     0.000000
-732.556260     0.000000
-727.037260     0.000000
-721.518260     0.000000
-715.999260     0.000000
-710.480260     0.000000
-704.961260     0.000000
-699.442260     0.000000
-693.923260     0.000000
-688.404260     0.000000
-682.885260     0.000000
-677.366260     0.000000
-671.847260     0.000000
-666.328260     0.000000
-660.809260     0.000000
-655.290260     0.000000
-649.771260     0.000000
-644.252260     0.000000
-638.733260     0.000000
-633.214260     0.000000
-627.695260     0.000000
-622.176260     0.000000
-616.657260     0.000000
-611.138260     0.000000
-605.619260     0.000000
-600.100260     0.000000
-594.581260     0.000000
-589.062260     0.000000
-583.543260     0.000000
-578.024260     0.000000
-572.505260     0.000000
-566.986260     0.000000
-561.467260     0.000000
-555.948260     0.000000
-550.429260     0.000000
-544.910260     0.000000
-539.391260     0.000000
-533.872260     0.000000
-528.353260     0.000000
-522.834260     0.000000
-517.315260     0.000000
-511.796260     0.000000
-506.277260     0.000000
-500.758260     0.000000
-495.239260     0.000000
-489.720260     0.000000
-484.201260     0.000000
-478.682260     0.000000
-473.163260     0.000000
-467.644260     0.000000
-462.125260     0.000000
-456.606260     0.000000
-451.087260     0.000000
-445.568260     0.000000
-440.049260     0.000000
-434.530260     0.000000
-429.011260     0.000000
-423.492260     0.000000
-417.973260     0.000000
-412.454260     0.000000
-406.935260     0.000000
-401.416260     0.000000
-395.897260     0.000000
-390.378260     0.000000
-384.859260     0.000000
-379.340260     0.000000
-373.821260     0.000000
-368.302260     0.000000
-362.783260     0.000000
-357.264260     0.000000
-351.745260     0.000000
-346.226260     0.000000
-340.707260     0.000000
-335.188260     0.000000
-329.669260     0.000000
-324.150260     0.000000
-318.631260     0.000000
-313.112260     0.000000
-307.593260     0.000000
-302.074260     0.000000
-296.555260     0.000000
-291.036260     0.000000
-285.517260     0.000000
-279.998260     0.000000
-274.479260     0.000000
-268.960260     0.000000
-263.441260     0.000000
-257.922260     0.000000
-252.403260     0.000000
-246.884260     0.000000
-241.365260     0.000000
-235.846260     0.000000
-230.327260     0.000000
-224.808260     0.000000
-219.289260     0.000000
-213.770260     0.000000
-208.251260     0.000000
-202.732260     0.000000
-197.213260     0.000000
-191.694260     0.000000
-186.175260     0.000000
-180.656260     0.000000
-175.137260     0.000000
-169.618260     0.000000
-164.099260     0.000000
-158.580260     0.000000
-153.061260     0.000000
-147.542260     0.000000
-142.023260     0.000000
-136.504260     0.000000
-130.985260     0.000000
-125.466260     0.000000
-119.947260     0.000000
-114.428260     0.000000
-108.909260     0.000000
-103.390260     0.000000
-97.871260     0.000000
-92.352260     2.000000
-86.833260     5.000000
-81.314260     6.000000
-75.795260     10.000000
-70.276260     16.000000
-64.757260     20.000000
-59.238260     21.000000
-53.719260     26.000000
-48.200260     36.000000
-42.681260     53.000000
-37.162260     85.000000
-31.643260     178.000000
-26.124260     407.000000
-20.605260     795.000000
-15.086260     1283.000000
-9.567260     1685.000000
-4.048260     1909.000000
1.470740     1966.000000
6.989740     1851.000000
12.508740     1534.000000
18.027740     1023.000000
23.546740     518.000000
29.065740     203.000000
34.584740     93.000000
40.103740     55.000000
45.622740     37.000000
51.141740     28.000000
56.660740     23.000000
62.179740     21.000000
67.698740     19.000000
73.217740     15.000000
78.736740     9.000000
84.255740     7.000000
89.774740     4.000000
95.293740     1.000000
100.812740     0.000000
106.331740     0.000000
111.850740     0.000000
117.369740     0.000000
122.888740     0.000000
128.407740     0.000000
133.926740     0.000000
139.445740     0.000000
144.964740     0.000000
150.483740     0.000000
156.002740     0.000000
161.521740     0.000000
167.040740     0.000000
172.559740     0.000000
178.078740     0.000000
183.597740     0.000000
189.116740     0.000000
194.635740     0.000000
200.154740     0.000000
205.673740     0.000000
211.192740     0.000000
216.711740     0.000000
222.230740     0.000000
227.749740     0.000000
233.268740     0.000000
238.787740     0.000000
244.306740     0.000000
249.825740     0.000000
255.344740     0.000000
260.863740     0.000000
266.382740     0.000000
271.901740     0.000000
277.420740     0.000000
282.939740     0.000000
288.458740     0.000000
293.977740     0.000000
299.496740     0.000000
305.015740     0.000000
310.534740     0.000000
316.053740     0.000000
321.572740     0.000000
327.091740     0.000000
332.610740     0.000000
338.129740     0.000000
343.648740     0.000000
349.167740     0.000000
354.686740     0.000000
360.205740     0.000000
365.724740     0.000000
371.243740     0.000000
376.762740     0.000000
382.281740     0.000000
387.800740     0.000000
393.319740     0.000000
398.838740     0.000000
404.357740     0.000000
409.876740     0.000000
415.395740     0.000000
420.914740     0.000000
426.433740     0.000000
431.952740     0.000000
437.471740     0.000000
442.990740     0.000000
448.509740     0.000000
454.028740     0.000000
459.547740     0.000000
465.066740     0.000000
470.585740     0.000000
476.104740     0.000000
481.623740     0.000000
487.142740     0.000000
492.661740     0.000000
498.180740     0.000000
503.699740     0.000000
509.218740     0.000000
514.737740     0.000000
520.256740     0.000000
525.775740     0.000000
531.294740     0.000000
536.813740     0.000000
542.332740     0.000000
547.851740     0.000000
