# Wavelength (A)     Intensity in channel 1     Intensity in channel 2     Intensity in channel 3
-134.245225     146.615000     101.692000     101.128000
-128.726225     147.795000     99.948700     94.282100
-123.207225     153.538000     104.077000     94.205100
-117.688225     160.667000     110.590000     96.974400
-112.169225     161.231000     110.128000     96.179500
-106.650225     163.795000     109.872000     94.769200
-101.131225     170.179000     113.769000     95.666700
-95.612225     174.821000     117.667000     96.743600
-90.093225     177.692000     119.410000     98.743600
-84.574225     186.590000     126.385000     104.128000
-79.055225     201.333000     135.949000     107.359000
-73.536225     218.103000     141.974000     105.795000
-68.017225     247.282000     158.179000     113.282000
-62.498225     288.487000     177.872000     125.615000
-56.979225     346.615000     204.641000     140.179000
-51.460225     441.897000     247.949000     159.641000
-45.941225     601.513000     322.949000     193.282000
-40.422225     868.667000     444.769000     248.256000
-34.903225     1373.050000     676.897000     358.795000
-29.384225     2415.920000     1131.360000     582.154000
-23.865225     4361.030000     2134.620000     1081.230000
-18.346225     7246.000000     4162.690000     2121.740000
-12.827225     10364.700000     7262.150000     4228.670000
-7.308225     12576.000000     10086.100000     6860.310000
-1.789225     13574.900000     11710.600000     9349.970000
3.729775     13449.800000     12193.300000     10917.200000
9.248775     12203.700000     11557.000000     11088.900000
14.767775     9551.280000     9613.410000     9646.280000
20.286775     6118.950000     6387.950000     6934.000000
25.805775     3209.740000     3332.590000     4031.490000
31.324775     1576.560000     1532.590000     2025.460000
36.843775     908.949000     821.615000     999.897000
42.362775     595.231000     495.615000     543.282000
47.881775     439.538000     345.077000     337.692000
53.400775     354.795000     268.154000     240.410000
58.919775     301.179000     219.308000     184.333000
64.438775     262.846000     188.487000     157.308000
69.957775     235.282000     170.897000     144.513000
75.476775     214.205000     155.128000     133.641000
80.995775     204.231000     146.179000     129.333000
86.514775     194.769000     137.538000     123.231000
92.033775     185.256000     130.487000     115.436000
97.552775     175.513000     125.974000     111.897000
103.071775     170.974000     122.513000     111.410000
108.590775     168.487000     119.410000     108.385000
114.109775     162.872000     113.615000     102.821000
119.628775     155.872000     109.256000     98.769200
125.147775     151.103000     106.923000     97.794900
130.666775     144.385000     105.564000     99.230800
136.185775     143.769000     106.359000     99.923100
141.704775     145.641000     106.744000     100.103000
147.223775     143.436000     103.718000     95.282100
152.742775     144.846000     104.205000     94.435900
158.261775     145.667000     105.000000     94.974400
163.780775     144.385000     103.128000     95.153800
169.299775     145.410000     103.333000     97.717900
174.818775     142.744000     100.462000     95.769200
180.337775     143.333000     101.641000     95.666700
185.856775     140.103000     101.282000     93.871800
191.375775     138.538000     98.820500     93.000000
196.894775     139.692000     96.743600     93.359000
202.413775     144.282000     97.794900     94.487200
207.932775     142.846000     98.435900     95.282100
213.451775     136.000000     98.923100     96.487200
218.970775     129.538000     97.205100     94.948700
224.489775     128.154000     95.666700     91.461500
230.008775     127.744000     93.948700     88.128200
235.527775     130.385000     93.025600     89.897400
241.046775     128.974000     91.717900     93.000000
246.565775     130.051000     92.205100     94.846200
252.084775     130.923000     90.564100     94.410300
257.603775     133.821000     93.461500     95.871800
263.122775     131.385000     93.794900     95.923100
268.641775     128.154000     93.974400     96.025600
274.160775     125.538000     92.974400     94.692300
279.679775     128.897000     93.769200     96.717900
285.198775     130.949000     93.128200     98.102600
290.717775     133.359000     94.359000     98.923100
296.236775     134.103000     93.794900     95.743600
301.755775     132.205000     94.974400     93.589700
307.274775     134.795000     94.153800     92.384600
312.793775     138.231000     93.871800     92.051300
318.312775     133.744000     91.512800     88.512800
323.831775     130.872000     90.076900     85.615400
329.350775     130.487000     91.820500     86.871800
334.869775     132.564000     94.974400     88.076900
340.388775     131.795000     92.487200     87.794900
345.907775     133.513000     92.743600     91.153800
351.426775     136.872000     92.384600     94.435900
356.945775     137.410000     90.820500     91.692300
362.464775     135.590000     91.461500     88.666700
367.983775     131.641000     88.666700     84.384600
373.502775     134.026000     89.820500     85.282100
379.021775     138.026000     92.641000     89.743600
384.540775     131.462000     89.000000     90.923100
390.059775     126.641000     89.128200     91.692300
395.578775     122.128000     88.000000     91.538500
401.097775     123.692000     87.435900     89.076900
406.616775     128.385000     88.000000     89.692300
412.135775     131.590000     88.410300     88.641000
417.654775     129.590000     87.820500     86.307700
423.173775     126.462000     86.846200     85.000000
428.692775     124.231000     86.948700     86.435900
434.211775     125.872000     89.589700     89.846200
439.730775     125.103000     86.794900     88.897400
445.249775     126.333000     85.461500     89.820500
450.768775     126.615000     86.512800     92.974400
456.287775     126.128000     89.897400     93.948700
461.806775     121.641000     88.333300     90.871800
467.325775     124.897000     89.384600     91.384600
472.844775     130.128000     90.461500     94.487200
478.363775     132.128000     89.333300     94.205100
483.882775     132.949000     88.871800     93.948700
489.401775     134.385000     90.384600     93.743600
494.920775     133.513000     89.923100     95.230800
500.439775     130.641000     88.307700     94.487200
